2026-04-28T13:23:24.942725Z INFO  angles 
GEO_MAG in degrees
            geopack_08_dp   spacepy  spacepy-irbem  spiceypy1  spiceypy2     sunpy  pyspedas
2010-01-01       9.983977  9.983977       9.954327   9.983631   9.978145  9.983977  9.983977
2010-01-02       9.983815  9.983815       9.954327   9.983481   9.977992  9.983815  9.983815
2010-01-03       9.983653  9.983653       9.954327   9.983332   9.977839  9.983653  9.983653
2010-01-04       9.983491  9.983490       9.954327   9.983182   9.977686  9.983490  9.983491
2010-01-05       9.983328  9.983328       9.954327   9.983033   9.977533  9.983328  9.983328
2010-01-06       9.983166  9.983166       9.954327   9.982883   9.977380  9.983165  9.983166
2010-01-07       9.983004  9.983003       9.954327   9.982734   9.977227  9.983003  9.983004
2010-01-08       9.982841  9.982841       9.954327   9.982584   9.977074  9.982840  9.982841
2010-01-09       9.982679  9.982679       9.954327   9.982434   9.976921  9.982678  9.982679
2010-01-10       9.982517  9.982516       9.954327   9.982285   9.976768  9.982516  9.982517
2010-01-11       9.982354  9.982354       9.954327   9.982135   9.976615  9.982353  9.982354
2010-01-12       9.982192  9.982192       9.954327   9.981986   9.976462  9.982191  9.982192
2010-01-13       9.982030  9.982029       9.954327   9.981836   9.976309  9.982028  9.982030
2010-01-14       9.981867  9.981867       9.954327   9.981686   9.976156  9.981866  9.981867
2010-01-15       9.981705  9.981705       9.954327   9.981537   9.976003  9.981703  9.981705
2010-01-16       9.981543  9.981542       9.954327   9.981387   9.975850  9.981541  9.981543
2010-01-17       9.981380  9.981380       9.954327   9.981238   9.975697  9.981379  9.981380
2010-01-18       9.981218  9.981218       9.954327   9.981088   9.975544  9.981216  9.981218
2010-01-19       9.981056  9.981055       9.954327   9.980938   9.975391  9.981054  9.981056
2010-01-20       9.980893  9.980893       9.954327   9.980789   9.975238  9.980891  9.980893
2010-01-21       9.980731  9.980731       9.954327   9.980639   9.975085  9.980729  9.980731
2010-01-22       9.980569  9.980568       9.954327   9.980489   9.974932  9.980566  9.980569
2010-01-23       9.980406  9.980406       9.954327   9.980340   9.974779  9.980404  9.980406
2010-01-24       9.980244  9.980243       9.954327   9.980190   9.974626  9.980241  9.980244
2010-01-25       9.980082  9.980081       9.954327   9.980040   9.974473  9.980079  9.980082
2010-01-26       9.979919  9.979919       9.954327   9.979890   9.974319  9.979917  9.979919
2010-01-27       9.979757  9.979756       9.954327   9.979741   9.974166  9.979754  9.979757
2010-01-28       9.979595  9.979594       9.954327   9.979591   9.974013  9.979592  9.979595
2010-01-29       9.979432  9.979432       9.954327   9.979441   9.973860  9.979429  9.979432
2010-01-30       9.979270  9.979269       9.954327   9.979291   9.973707  9.979267  9.979270
2010-01-31       9.979108  9.979107       9.954327   9.979142   9.973554  9.979104  9.979108
2010-02-01       9.978945  9.978945       9.954327   9.978992   9.973401  9.978942  9.978945
2010-02-02       9.978783  9.978782       9.954327   9.978842   9.973248  9.978779  9.978783
2010-02-03       9.978621  9.978620       9.954327   9.978692   9.973095  9.978617  9.978621
2010-02-04       9.978458  9.978458       9.954327   9.978543   9.972941  9.978455  9.978458
2010-02-05       9.978296  9.978295       9.954327   9.978393   9.972788  9.978292  9.978296
2010-02-06       9.978134  9.978133       9.954327   9.978243   9.972635  9.978130  9.978134
2010-02-07       9.977971  9.977970       9.954327   9.978093   9.972482  9.977967  9.977971
2010-02-08       9.977809  9.977808       9.954327   9.977943   9.972329  9.977805  9.977809
2010-02-09       9.977647  9.977646       9.954327   9.977793   9.972176  9.977642  9.977647
2010-02-10       9.977484  9.977483       9.954327   9.977644   9.972022  9.977480  9.977484
2010-02-11       9.977322  9.977321       9.954327   9.977494   9.971869  9.977317  9.977322
2010-02-12       9.977160  9.977159       9.954327   9.977344   9.971716  9.977155  9.977160
2010-02-13       9.976997  9.976996       9.954327   9.977194   9.971563  9.976993  9.976997
2010-02-14       9.976835  9.976834       9.954327   9.977044   9.971410  9.976830  9.976835
2010-02-15       9.976673  9.976672       9.954327   9.976894   9.971256  9.976668  9.976673
2010-02-16       9.976510  9.976509       9.954327   9.976744   9.971103  9.976505  9.976510
2010-02-17       9.976348  9.976347       9.954327   9.976594   9.970950  9.976343  9.976348
2010-02-18       9.976186  9.976185       9.954327   9.976445   9.970797  9.976180  9.976186
2010-02-19       9.976023  9.976022       9.954327   9.976295   9.970643  9.976018  9.976023
2010-02-20       9.975861  9.975860       9.954327   9.976145   9.970490  9.975855  9.975861
2010-02-21       9.975699  9.975697       9.954327   9.975995   9.970337  9.975693  9.975699
2010-02-22       9.975536  9.975535       9.954327   9.975845   9.970184  9.975530  9.975536
2010-02-23       9.975374  9.975373       9.954327   9.975695   9.970030  9.975368  9.975374
2010-02-24       9.975212  9.975210       9.954327   9.975545   9.969877  9.975206  9.975212
2010-02-25       9.975049  9.975048       9.954327   9.975395   9.969724  9.975043  9.975049
2010-02-26       9.974887  9.974886       9.954327   9.975245   9.969570  9.974881  9.974887
2010-02-27       9.974725  9.974723       9.954327   9.975095   9.969417  9.974718  9.974725
2010-02-28       9.974562  9.974561       9.954327   9.974945   9.969264  9.974556  9.974562
2010-03-01       9.974400  9.974399       9.954327   9.974795   9.969110  9.974393  9.974400
2010-03-02       9.974237  9.974236       9.954327   9.974645   9.968957  9.974231  9.974237
2010-03-03       9.974075  9.974074       9.954327   9.974495   9.968804  9.974068  9.974075
2010-03-04       9.973913  9.973911       9.954327   9.974345   9.968651  9.973906  9.973913
2010-03-05       9.973750  9.973749       9.954327   9.974195   9.968497  9.973743  9.973750
2010-03-06       9.973588  9.973587       9.954327   9.974045   9.968344  9.973581  9.973588
2010-03-07       9.973426  9.973424       9.954327   9.973895   9.968190  9.973419  9.973426
2010-03-08       9.973263  9.973262       9.954327   9.973745   9.968037  9.973256  9.973263
2010-03-09       9.973101  9.973100       9.954327   9.973595   9.967884  9.973094  9.973101
2010-03-10       9.972939  9.972937       9.954327   9.973445   9.967730  9.972931  9.972939
2010-03-11       9.972776  9.972775       9.954327   9.973294   9.967577  9.972769  9.972776
2010-03-12       9.972614  9.972612       9.954327   9.973144   9.967424  9.972606  9.972614
2010-03-13       9.972452  9.972450       9.954327   9.972994   9.967270  9.972444  9.972452
2010-03-14       9.972289  9.972288       9.954327   9.972844   9.967117  9.972281  9.972289
2010-03-15       9.972127  9.972125       9.954327   9.972694   9.966963  9.972119  9.972127
2010-03-16       9.971965  9.971963       9.954327   9.972544   9.966810  9.971956  9.971965
2010-03-17       9.971802  9.971801       9.954327   9.972394   9.966657  9.971794  9.971802
2010-03-18       9.971640  9.971638       9.954327   9.972244   9.966503  9.971631  9.971640
2010-03-19       9.971478  9.971476       9.954327   9.972093   9.966350  9.971469  9.971478
2010-03-20       9.971315  9.971313       9.954327   9.971943   9.966196  9.971307  9.971315
2010-03-21       9.971153  9.971151       9.954327   9.971793   9.966043  9.971144  9.971153
2010-03-22       9.970991  9.970989       9.954327   9.971643   9.965889  9.970982  9.970991
2010-03-23       9.970828  9.970826       9.954327   9.971493   9.965736  9.970819  9.970828
2010-03-24       9.970666  9.970664       9.954327   9.971343   9.965582  9.970657  9.970666
2010-03-25       9.970503  9.970502       9.954327   9.971192   9.965429  9.970494  9.970503
2010-03-26       9.970341  9.970339       9.954327   9.971042   9.965276  9.970332  9.970341
2010-03-27       9.970179  9.970177       9.954327   9.970892   9.965122  9.970169  9.970179
2010-03-28       9.970016  9.970014       9.954327   9.970742   9.964969  9.970007  9.970016
2010-03-29       9.969854  9.969852       9.954327   9.970592   9.964815  9.969844  9.969854
2010-03-30       9.969692  9.969690       9.954327   9.970441   9.964662  9.969682  9.969692
2010-03-31       9.969529  9.969527       9.954327   9.970291   9.964508  9.969519  9.969529
2010-04-01       9.969367  9.969365       9.954327   9.970141   9.964355  9.969357  9.969367
2010-04-02       9.969205  9.969203       9.954327   9.969990   9.964201  9.969195  9.969205
2010-04-03       9.969042  9.969040       9.954327   9.969840   9.964047  9.969032  9.969042
2010-04-04       9.968880  9.968878       9.954327   9.969690   9.963894  9.968870  9.968880
2010-04-05       9.968718  9.968715       9.954327   9.969540   9.963740  9.968707  9.968718
2010-04-06       9.968555  9.968553       9.954327   9.969389   9.963587  9.968545  9.968555
2010-04-07       9.968393  9.968391       9.954327   9.969239   9.963433  9.968382  9.968393
2010-04-08       9.968230  9.968228       9.954327   9.969089   9.963280  9.968220  9.968230
2010-04-09       9.968068  9.968066       9.954327   9.968938   9.963126  9.968057  9.968068
2010-04-10       9.967906  9.967904       9.954327   9.968788   9.962973  9.967895  9.967906
2010-04-11       9.967743  9.967741       9.954327   9.968638   9.962819  9.967732  9.967743
2010-04-12       9.967581  9.967579       9.954327   9.968487   9.962665  9.967570  9.967581
2010-04-13       9.967419  9.967416       9.954327   9.968337   9.962512  9.967407  9.967419
2010-04-14       9.967256  9.967254       9.954327   9.968187   9.962358  9.967245  9.967256
2010-04-15       9.967094  9.967092       9.954327   9.968036   9.962205  9.967082  9.967094
2010-04-16       9.966932  9.966929       9.954327   9.967886   9.962051  9.966920  9.966932
2010-04-17       9.966769  9.966767       9.954327   9.967735   9.961897  9.966757  9.966769
2010-04-18       9.966607  9.966605       9.954327   9.967585   9.961744  9.966595  9.966607
2010-04-19       9.966445  9.966442       9.954327   9.967435   9.961590  9.966433  9.966445
2010-04-20       9.966282  9.966280       9.954327   9.967284   9.961436  9.966270  9.966282
2010-04-21       9.966120  9.966117       9.954327   9.967134   9.961283  9.966108  9.966120
2010-04-22       9.965957  9.965955       9.954327   9.966983   9.961129  9.965945  9.965957
2010-04-23       9.965795  9.965793       9.954327   9.966833   9.960976  9.965783  9.965795
2010-04-24       9.965633  9.965630       9.954327   9.966682   9.960822  9.965620  9.965633
2010-04-25       9.965470  9.965468       9.954327   9.966532   9.960668  9.965458  9.965470
2010-04-26       9.965308  9.965305       9.954327   9.966382   9.960514  9.965295  9.965308
2010-04-27       9.965146  9.965143       9.954327   9.966231   9.960361  9.965133  9.965146
2010-04-28       9.964983  9.964981       9.954327   9.966081   9.960207  9.964970  9.964983
2010-04-29       9.964821  9.964818       9.954327   9.965930   9.960053  9.964808  9.964821
2010-04-30       9.964659  9.964656       9.954327   9.965780   9.959900  9.964645  9.964659
2010-05-01       9.964496  9.964494       9.954327   9.965629   9.959746  9.964483  9.964496
